form_slp1	primary_lemma	primary_pos	primary_n	alt_lemma	alt_pos	alt_n
ABAga	ABaj	noun	2	ABAji	noun	2
ABAgena	ABaj	noun	2	ABAji	noun	2
ABAva	ABAvi	noun	8	ABA	noun	6
ABAva	ABAvi	noun	8	ABA	verb	2
ABAzyamARa	ABAz	noun	2	ABAzi	noun	2
ABU	ABu	noun	6	ABU	noun	3
ABaranti	ABf	noun	4	ABf	verb	1
ABram	ABra	noun	3	aBr	verb	1
ADAvatA	Asf	noun	2	ADAv	noun	2
ADarzayan	ADarzi	noun	4	ADfz	noun	2
ADarzayan	ADarzi	noun	4	ADarzi	verb	2
ADarzayan	ADarzi	noun	4	ADfz	verb	1
ADita	ADitA	noun	3	ADA	verb	1
AGozayanta	AGozi	verb	2	AGuz	verb	1
AKyAd	AKyA	noun	9	AKyA	verb	1
AKyAd	AKyA	noun	9	Acakzi	verb	1
ASAsyamAna	ASAsi	noun	4	ASAs	noun	2
ASaMsat	ASaMs	noun	3	ASaMs	verb	1
ASaNkin	ASaNk	noun	2	ASaNki	noun	2
ASasti	ASas	noun	6	ASaMs	noun	6
ASreza	ASrezA	noun	3	ASreza	noun	2
ASvAs	ASva	noun	10	ASu	noun	8
ASvAs	ASva	noun	10	ASvAsi	noun	7
AYjanAByaYjana	AYjanAByaYjanA	noun	3	AYjanAByaYjana	noun	2
AbadDAByAm	AbadDa	noun	18	AbanD	noun	9
AcCA	AcCo	noun	15	AcCAyi	noun	6
AcCedi	AcCedi	noun	9	AcCid	noun	3
AcCedi	AcCedi	noun	9	AcCid	verb	1
AcCedi	AcCedi	noun	9	AcCedi	verb	1
Acakzam	Acakz	noun	14	Acakzi	noun	14
Acaratas	Acar	noun	5	Acar	verb	1
AdAsyAma	AdA	verb	2	Ado	verb	1
AdAsyAma	AdA	verb	2	AdE	verb	1
AdAsyamAna	AdA	noun	6	Ado	noun	2
AdAsyamAna	AdA	noun	6	AdE	noun	2
AdAsyat	AdA	noun	6	Ado	noun	3
AdAsyat	AdA	noun	6	AdE	noun	3
AdAsyat	AdA	noun	6	AdA	verb	2
AdAsyat	AdA	noun	6	Ado	verb	1
AdAsyat	AdA	noun	6	AdE	verb	1
AdAtavya	AdA	noun	4	Ado	noun	2
